name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Pierre-Emerick_Aubameyang_23,0,22,0,1,0,24,1,0,15,4.3,1,0,23,0,0,340,0,0,1,12.7,18428,30.8,0,2019-04-15T19:00:00Z,4/15/2019 20:00,0,0,90,3,0,18,0,0,0,0,0,0,34,0,1194216,2,0,2,1,0,92,6,-31354,49772,81126,109,FALSE,1,0,Pierre-Emerick,Aubameyang,18,7,175,2362,34,413.6,823,1244,26,635,247.9,7,0,0,19.7,109,Pierre-Emerick,Aubameyang,23
Asmir_Begovic_24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,331,0,0,0,0,18429,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,187470,0,0,0,5,0,0,0,-3158,1902,5060,43,FALSE,0,0,Asmir,Begovic,0,0,63,2160,47,0,440.6,0,4,363,44.2,5,0,0,2.9,43,Asmir,Begovic,24
Artur_Boruc_25,0,22,0,0,0,19,1,0,14,0,0,0,25,0,0,331,0,0,0,0.9,18430,9.4,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,0,3,0,0,0,0,6,0,34,1,556661,0,0,0,5,0,0,5,-39840,1889,41729,41,FALSE,0,1,Artur,Boruc,0,0,41,900,14,0,236.2,0,4,187,23.7,4,0,2,8.8,41,Artur,Boruc,25
Simon_Francis_26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,331,0,0,0,0,18431,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,12730,0,0,0,5,0,0,0,-87,12,99,43,FALSE,0,0,Simon,Francis,0,2,40,1227,24,173.3,332.4,39,0,244,54.4,4,0,1,0.2,43,Simon,Francis,26
Steve_Cook_27,0,42,0,0,0,27,1,8,36,0,0,0,27,0,0,331,0,0,0,2.8,18432,21.2,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,86,0,0,3,0,0,0,0,5,0,34,0,250074,0,0,0,5,0,7,6,-7081,40,7121,43,FALSE,0,0,Steve,Cook,1,1,76,2426,47,109.2,648.2,286,5,480,104.2,8,0,2,4,43,Steve,Cook,27
Charlie_Daniels_28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,331,0,0,0,0,18433,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,242947,0,0,0,5,0,0,0,-27950,94,28044,41,FALSE,0,0,Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,3.7,41,Charlie,Daniels,28
Adam_Smith_29,0,37,0,0,0,25,1,6,31,3.2,1,0,29,0,0,331,1,0,0,2.5,18434,20,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,0,3,0,0,0,0,5,0,34,0,28106,1,0,0,5,0,2,6,-697,733,1430,43,FALSE,0,0,Adam,Smith,1,0,60,1887,28,139.3,307.8,106,0,319,55.4,7,1,5,0.5,43,Adam,Smith,29
Tyrone_Mings_30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,331,0,0,0,0,18435,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,6417,0,0,0,5,0,0,0,-34,2,36,42,FALSE,0,0,Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,Tyrone,Mings,30
Nathan_Ak�_31,0,41,0,0,0,22,1,3,32,21.2,1,0,31,0,0,331,2,0,0,5.3,18436,25.4,1,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,90,0,2,3,0,0,0,0,8,0,34,0,385270,0,0,0,5,0,6,5,-14829,6013,20842,51,FALSE,0,1,Nathan,Aké,3,1,103,3051,61,78.5,897.8,343,6,631,132,9,0,3,6.2,51,Nathan,Aké,31
Jack_Simpson_32,0,4,0,0,0,3,0,0,4,0.1,0,0,32,0,0,331,0,0,0,0.1,18437,0.6,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,3,0,0,3,0,0,0,0,0,0,34,0,390392,0,0,0,5,0,0,1,-7168,1218,8386,39,FALSE,0,0,Jack,Simpson,0,0,3,85,1,0.1,19.4,0,0,16,2,0,0,0,6.2,39,Jack,Simpson,32
