name,lname,ID,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,assists,attempted_passes
Felipe Anderson,Pereira Gomes,465,0,0,2,38,0,2,32,4.3,2,0,465,0,0,160,0,2,1,8.9,8604,42.8,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,83,0,0,7,0,0,0,0,5,0,16,0,837983,6,0,0,2,3,42,12,136707,159846,23139,72,TRUE,1,0,1,39
Yves,Bissouma,466,0,0,0,10,0,2,29,4.3,3,0,466,0,0,153,0,1,0,1.9,8605,9.6,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,4,0,0,0,0,5,0,16,0,1508,2,0,1,0,1,5,2,11,67,56,47,FALSE,0,0,0,39
Greg,Cunninghamm,467,0,0,0,0,0,0,0,0,0,0,467,0,0,154,0,0,0,0,8606,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,16,0,0,0,0,0,0,16,0,2805,0,0,0,0,1,0,0,-82,7,89,42,TRUE,0,0,0,0
Alisson,Ramses Becker,468,0,0,0,26,1,2,24,0,0,0,468,0,0,152,0,0,0,1.8,8607,18.4,0,2018-12-08T12:30:00Z,12/8/2019 12:30,0,0,90,0,0,2,0,0,0,0,5,0,16,2,1242387,0,0,0,4,0,0,6,15182,28069,12887,57,FALSE,0,0,0,34
Kevin,Mirallas,469,0,0,0,0,0,0,0,0,0,0,469,0,0,156,0,0,0,0,8608,0,0,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,634,0,0,0,2,2,0,0,-1,1,2,55,TRUE,0,0,0,0
Sandro,Ramírez,470,0,0,0,0,0,0,0,0,0,0,470,0,0,156,0,0,0,0,8609,0,0,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,6088,0,0,0,2,2,0,0,-32,2,34,54,TRUE,0,0,0,0
Adama,Diakhaby,471,0,0,0,0,0,0,0,0,0,0,471,0,0,151,0,0,0,0,8610,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,1,0,0,0,0,0,0,16,0,1100,0,0,0,0,1,0,0,-38,10,48,46,FALSE,0,0,0,0
Daniel,Sturridge,472,0,0,0,0,0,0,0,0,0,0,472,0,0,152,0,0,0,0,8611,0,0,2018-12-08T12:30:00Z,12/8/2019 12:30,0,0,0,0,0,2,0,0,0,0,0,0,16,0,63438,0,0,0,4,0,0,0,-964,1038,2002,58,FALSE,0,0,0,0
Diego,Rico,473,0,0,0,2,0,1,2,0.3,0,0,473,0,0,152,1,0,0,0,8612,0,0,2018-12-08T12:30:00Z,12/8/2019 12:30,0,0,7,0,0,12,0,0,0,0,0,0,16,0,2350,0,0,0,4,0,0,1,-49,24,73,42,TRUE,0,0,0,4
Fabricio,Agosto Ramírez,474,0,0,0,0,0,0,0,0,0,0,474,0,0,158,0,0,0,0,8613,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,16994,0,0,0,1,4,0,0,73,557,484,43,FALSE,0,0,0,0
João Filipe Iria,Santos Moutinho,475,0,0,0,9,0,2,18,25.6,0,0,475,0,0,159,0,0,0,3.5,8614,9.6,2,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,14,0,0,15,0,0,0,0,3,0,16,0,155165,0,1,0,2,1,0,1,-6630,3179,9809,53,FALSE,0,0,0,18
Alireza,Jahanbakhsh,476,0,0,0,0,0,0,0,0,0,0,476,0,0,153,0,0,0,0,8615,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,4,0,0,0,0,0,0,16,0,38691,0,0,0,0,1,0,0,-416,16,432,67,FALSE,0,0,0,0
Sullay,Kaikai,477,0,0,0,0,0,0,0,0,0,0,477,0,0,160,0,0,0,0,8616,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,19,0,0,0,0,0,0,16,0,10185,0,0,0,2,3,0,0,-138,197,335,43,FALSE,0,0,0,0
André,Schürrle,478,0,0,0,4,0,1,22,2.3,0,0,478,0,0,158,0,3,0,0.9,8617,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,72,0,0,14,0,0,0,0,2,0,16,0,251454,0,0,2,1,4,9,2,-14454,5718,20172,58,FALSE,0,0,0,26
Matt,Targett,479,0,0,1,23,0,6,28,54.4,0,0,479,0,0,154,0,1,0,9,8618,25,4,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,3,5,0,0,0,0,4,0,16,0,3658,1,3,1,0,1,11,3,-14,58,72,42,FALSE,0,0,0,40
Aleksandar,Mitrovic,480,0,0,0,1,0,1,7,2.8,1,0,480,0,0,158,1,3,0,3.2,8619,4,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,45,0,0,14,0,0,0,0,0,0,16,0,1148103,2,0,0,1,4,25,1,63280,112866,49586,67,FALSE,0,0,0,11
Andreas,Pereira,481,0,0,0,0,0,0,0,0,0,0,481,0,0,158,0,0,0,0,8620,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,9,0,0,0,0,0,0,16,0,12138,0,0,0,1,4,0,0,-190,89,279,45,TRUE,0,0,0,0
Fabian,Schär,482,0,0,0,0,0,0,0,0,0,0,482,0,0,159,0,0,0,0,8621,0,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,0,0,0,20,0,0,0,0,0,0,16,0,7119,0,0,0,2,1,0,0,-268,44,312,46,TRUE,0,0,0,0
Jonathan,Castro Otto,483,0,0,0,0,0,0,0,0,0,0,483,0,0,159,0,0,0,0,8622,0,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,0,0,0,15,0,0,0,0,0,0,16,0,87604,0,0,0,2,1,0,0,-12078,115,12193,43,FALSE,0,0,0,0
Lucas,Digne,484,0,0,3,32,0,5,41,54.3,0,0,484,0,0,156,0,2,1,13.2,8623,63,3,2018-12-10T20:00:00Z,12/10/2019 20:00,0,0,90,0,4,18,0,0,0,0,6,0,16,0,218445,2,1,1,2,2,15,10,17292,23701,6409,49,TRUE,0,0,0,48
Anders,Lindegaard,485,0,0,0,0,0,0,0,0,0,0,485,0,0,153,0,0,0,0,8624,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,16,0,6527,0,0,0,0,1,0,0,-56,7,63,44,TRUE,0,0,0,0
Max,Meyer,486,0,0,0,18,0,1,26,27.2,1,0,486,0,0,160,2,3,0,11,8625,26.4,2,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,83,0,1,19,0,0,0,0,5,0,16,0,12833,2,0,0,2,3,56,5,-113,206,319,56,FALSE,0,0,1,35
Alfie,Mawson,487,0,0,0,14,0,10,17,0,0,0,487,0,0,158,0,4,0,2.7,8626,26.6,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,14,0,0,0,0,9,0,16,0,7117,0,0,0,1,4,0,0,-20,127,147,48,FALSE,0,0,0,28
Yoshinori,Muto,488,0,0,0,0,0,0,0,0,0,0,488,0,0,159,0,0,0,0,8627,0,0,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,0,0,0,20,0,0,0,0,0,0,16,0,3629,0,0,0,2,1,0,0,-60,71,131,56,TRUE,0,0,0,0
Robert,Snodgrass,489,0,0,1,35,0,2,33,52.8,3,0,489,0,0,160,1,2,1,12.1,8628,53.2,3,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,7,0,0,0,0,7,0,16,0,49277,3,1,0,2,3,15,8,37445,39059,1614,53,TRUE,0,0,0,40
Joe,Hart,490,0,0,1,23,1,0,11,0,0,0,490,0,0,153,0,0,0,1,8629,10.2,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,90,0,0,3,0,0,0,0,11,0,16,1,511536,0,0,0,0,1,0,7,-3639,6451,10090,45,TRUE,0,0,0,30
Ben,Gibson,491,0,0,0,0,0,0,0,0,0,0,491,0,0,153,0,0,0,0,8630,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,16,0,5611,0,0,0,0,1,0,0,11,67,56,48,TRUE,0,0,0,0
Rachid,Ghezzal,492,0,0,0,3,0,0,13,2.6,1,0,492,0,0,157,1,1,0,4.2,8631,9.8,0,2018-12-08T19:45:00Z,12/8/2019 19:45,0,0,34,0,0,17,0,0,0,0,1,0,16,0,7508,2,1,0,2,0,30,1,-292,18,310,51,TRUE,0,0,0,17
Salomón,Rondón,493,0,0,0,13,0,0,11,16.8,0,0,493,0,0,159,0,1,0,8.8,8632,22,1,2018-12-09T16:00:00Z,12/9/2019 16:00,0,0,85,0,1,20,0,0,0,0,2,0,16,0,145619,3,0,1,2,1,49,5,54509,60534,6025,58,TRUE,0,0,1,19
Jefferson,Lerma,494,0,0,0,15,0,7,48,13.6,1,0,494,0,0,152,3,4,0,4.3,8633,21.6,1,2018-12-08T12:30:00Z,12/8/2019 12:30,0,0,90,1,0,12,0,0,0,0,8,0,16,0,26230,1,3,0,4,0,8,1,-107,1623,1730,45,TRUE,0,1,0,55
Matej,Vydra,495,0,0,0,0,0,0,0,0,0,0,495,0,0,153,0,0,0,0,8634,0,0,2018-12-08T15:00:00Z,12/8/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,16,0,2542,0,0,0,0,1,0,0,-70,50,120,57,TRUE,0,0,0,0
Tammy,Abraham,496,0,0,0,0,0,0,0,0,0,0,496,0,0,155,0,0,0,0,8635,0,0,2018-12-08T17:30:00Z,12/8/2019 17:30,0,0,0,0,0,13,0,0,0,0,0,0,16,0,3456,0,0,0,0,2,0,0,-26,4,30,54,TRUE,0,0,0,0
Georges-Kévin,Nkoudou,497,0,0,0,0,0,0,0,0,0,0,497,0,0,157,0,0,0,0,8636,0,0,2018-12-08T19:45:00Z,12/8/2019 19:45,0,0,0,0,0,11,0,0,0,0,0,0,16,0,968,0,0,0,2,0,0,0,-5,14,19,48,FALSE,0,0,0,0
Kepa,Arrizabalaga,498,0,0,0,26,1,0,21,0,0,0,498,0,1,155,0,0,0,2.4,8637,24.2,0,2018-12-08T17:30:00Z,12/8/2019 17:30,0,0,90,0,0,13,0,0,0,0,5,0,16,4,316820,0,0,0,0,2,0,7,-12548,3426,15974,55,TRUE,0,0,0,31
Mateo,Kovacic,499,0,0,0,9,1,2,16,1.3,2,0,499,0,0,155,0,0,0,1.4,8638,12.6,0,2018-12-08T17:30:00Z,12/8/2019 17:30,0,0,64,0,0,13,0,0,0,0,3,0,16,0,45810,1,0,0,0,2,0,3,-1027,437,1464,58,TRUE,0,0,0,18
