first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id
Tiemoué,Bakayoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,129
Ethan,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,130
Callum,Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,131
Ruben,Loftus-Cheek,3,0,26,206,2,51.3,140.2,95,3,97,28.7,1,0,0,0.6,52,132
Olivier,Giroud,1,4,34,489,2,178,134.6,300,2,108,60.2,4,0,1,2.1,77,133
Álvaro,Morata,5,0,43,832,11,122.8,202.6,465,3,117,78,5,0,3,2.5,87,134
Wayne,Hennessey,0,0,62,1350,20,0,315.4,0,6,280,31.6,5,0,0,6.7,45,135
Julian,Speroni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,40,136
Vicente,Guaita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,137
James,Tomkins,0,0,35,1139,15,37,210,90,0,224,33.9,5,0,4,2.9,43,138
Scott,Dann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,139
Martin,Kelly,0,0,3,210,5,4.9,61.2,0,0,24,6.6,0,0,0,5.8,39,140
Jeffrey,Schlupp,1,0,26,570,8,73.2,99.2,132,0,71,30.6,1,0,1,2.1,44,141
Patrick,van Aanholt,1,1,55,1350,20,184.1,242.4,220,6,252,64.6,5,0,2,4,54,142
Mamadou,Sakho,0,0,46,1350,20,71.8,295.4,13,6,293,38.1,5,0,2,1.4,49,143
Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,144
Aaron,Wan-Bissaka,0,1,49,1244,18,108.8,340.4,65,9,257,51.6,5,1,1,28.5,42,145
Jason,Puncheon,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0.7,43,146
James,McArthur,1,1,43,1213,19,218.3,187.6,180,2,172,58.5,5,0,2,1.4,47,147
Bakary,Sako,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,148
Andros,Townsend,2,1,50,1310,18,421.4,273.4,280,3,205,97.7,5,0,1,2.1,57,149
Luka,Milivojevic,3,0,50,1350,20,279.7,379.6,218,6,239,87.7,5,0,4,2.7,60,150
Wilfried,Zaha,3,3,46,1170,17,288.2,224,444,3,135,95.6,5,0,4,14,67,151
Christian,Benteke,0,0,8,325,5,50.7,14.2,170,0,5,23.3,1,0,0,0.5,63,152
