first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Greg,Halford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Greg,Halford,97
Joe,Ralls,0,0,35,1574,33,393.8,222.4,155,0,180,76.9,4,1,3,0.1,46,Joe,Ralls,98
David Junior,Hoilett,2,1,53,1510,38,183.1,169.6,288,1,138,63.4,4,0,4,0.1,50,David Junior,Hoilett,99
Nathaniel,Mendez-Laing,1,0,25,502,10,99.7,123.6,140,1,99,36.5,2,0,0,0,48,Nathaniel,Mendez-Laing,100
Callum,Paterson,4,2,78,1956,41,310.8,266.4,539,4,221,111.4,5,0,4,0.8,50,Callum,Paterson,101
Aron,Gunnarsson,1,1,48,1449,26,151.4,265.8,139,3,197,55.6,5,0,3,0.9,44,Aron,Gunnarsson,102
Anthony,Pilkington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Anthony,Pilkington,103
Loïc,Damour,0,0,2,21,2,1,0.6,8,0,6,0.9,0,0,0,0.1,43,Loïc,Damour,104
Danny,Ward,1,0,19,331,11,56.7,60.2,69,0,58,18.3,0,0,0,0.2,43,Danny,Ward,105
Josh,Murphy,3,0,55,1306,24,147.1,195.6,459,1,116,79.4,5,0,1,0.3,48,Josh,Murphy,106
Kenneth,Zohore,1,1,23,438,13,95.5,80,219,2,57,39.4,1,0,1,0.6,46,Kenneth,Zohore,107
Omar,Bogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,Omar,Bogle,108
Gary,Madine,0,0,5,32,3,1.5,2,8,0,13,1,0,0,0,0.9,44,Gary,Madine,109
Bobby,Reid,4,3,66,1156,24,162,241.6,296,7,220,69.5,3,0,0,1.3,52,Bobby,Reid,110
Thibaut,Courtois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,55,Thibaut,Courtois,111
Willy,Caballero,0,0,6,90,0,0,3.6,0,0,19,0.4,1,0,0,0.1,47,Willy,Caballero,112
César,Azpilicueta,0,4,110,2430,29,408,562.4,132,7,596,110.7,12,0,1,8.1,63,César,Azpilicueta,113
Gary,Cahill,0,0,1,21,0,0,2.8,0,0,3,0.3,0,0,0,0.5,50,Gary,Cahill,114
Marcos,Alonso,1,7,134,2309,24,408.8,481,364,19,588,125.6,12,0,5,27.6,64,Marcos,Alonso,115
David,Luiz Moreira Marinho,2,2,122,2340,27,277.2,643.6,243,16,596,116.2,12,0,3,12.1,59,David,Luiz Moreira Marinho,116
Victor,Moses,0,0,2,26,1,12.7,1.2,6,0,3,2,0,0,0,1.3,55,Victor,Moses,117
Antonio,Rüdiger,1,1,98,2318,29,135.1,478.4,236,7,515,85.1,11,0,4,3.4,59,Antonio,Rüdiger,118
Andreas,Christensen,0,0,6,180,2,3.3,42,0,0,42,4.5,1,0,1,0.4,50,Andreas,Christensen,119
Davide,Zappacosta,0,0,2,18,0,0.4,3.8,21,0,5,2.5,0,0,0,0.1,50,Davide,Zappacosta,120
Emerson,Palmieri dos Santos,0,0,3,120,5,8.4,21,13,0,23,4.3,0,0,0,0.1,52,Emerson,Palmieri dos Santos,121
Eden,Hazard,12,10,166,2074,26,1003.6,907.6,1064,21,599,297.9,9,0,2,24.4,108,Eden,Hazard,122
Cesc,Fàbregas,0,0,6,175,2,58.5,37,14,0,36,10.9,0,0,1,0.3,62,Cesc,Fàbregas,123
Willian,Borges Da Silva,3,5,87,1646,20,918.8,447.4,586,3,389,195.3,10,0,1,3.9,71,Willian,Borges Da Silva,124
Pedro,Rodríguez Ledesma,8,1,95,1310,15,314.9,443,603,12,353,135.7,5,0,1,3.3,63,Pedro,Rodríguez Ledesma,125
N'Golo,Kanté,3,4,93,2408,29,596.8,532.8,274,3,441,140.4,12,0,3,18.9,50,N'Golo,Kanté,126
Ross,Barkley,3,4,65,890,10,235,257.4,326,5,229,81.5,6,0,1,1.4,51,Ross,Barkley,127
Daniel,Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,46,Daniel,Drinkwater,128
Tiemoué,Bakayoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tiemoué,Bakayoko,129
Ethan,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Ethan,Ampadu,130
Callum,Hudson-Odoi,0,0,4,74,1,5.1,3.2,6,0,13,1.2,0,0,0,2.2,42,Callum,Hudson-Odoi,131
Ruben,Loftus-Cheek,3,0,34,385,4,83.9,159,123,3,118,36.5,1,0,0,0.4,52,Ruben,Loftus-Cheek,132
Olivier,Giroud,1,4,43,657,4,224.3,146,326,2,130,68.6,5,0,1,1.8,77,Olivier,Giroud,133
Álvaro,Morata,5,0,46,936,11,130.2,219.8,523,3,119,86.3,6,0,3,1.4,84,Álvaro,Morata,134
Wayne,Hennessey,0,0,64,1485,25,0,333.8,0,6,295,33.4,5,0,0,2.9,45,Wayne,Hennessey,135
Julian,Speroni,0,0,1,90,4,0,31.4,0,0,16,3.1,0,0,0,11.2,39,Julian,Speroni,136
Vicente,Guaita,0,0,41,944,9,0,149.6,0,2,178,15,4,0,2,1.6,42,Vicente,Guaita,137
James,Tomkins,1,1,71,2129,32,71.2,466.4,240,0,419,78.1,8,0,5,3.3,43,James,Tomkins,138
Scott,Dann,0,0,2,14,0,0,0.2,0,0,6,0,0,0,0,0,44,Scott,Dann,139
Martin,Kelly,0,0,12,480,9,5.7,118.6,6,1,72,13.1,1,0,1,4.8,39,Martin,Kelly,140
Jeffrey,Schlupp,4,2,71,1189,20,170.7,330.2,357,3,226,86,2,0,1,2.8,44,Jeffrey,Schlupp,141
Patrick,van Aanholt,1,2,100,2476,35,431,448,368,13,464,124.8,9,0,3,4.9,54,Patrick,van Aanholt,142
Mamadou,Sakho,0,0,88,2416,35,78.2,540.6,47,13,533,66.6,9,0,2,1.8,49,Mamadou,Sakho,143
Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Jairo,Riedewald,144
Aaron,Wan-Bissaka,0,1,84,2234,32,198.2,595.6,127,14,462,92.3,9,1,4,26.6,45,Aaron,Wan-Bissaka,145
Jason,Puncheon,0,0,14,369,6,66.6,34,35,0,46,13.6,1,0,1,1.4,42,Jason,Puncheon,146
James,McArthur,2,5,89,2293,35,383.3,489,325,5,353,119.8,9,0,6,3.1,48,James,McArthur,147
Bakary,Sako,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,49,Bakary,Sako,148
Andros,Townsend,4,3,98,2469,36,779.3,549,428,5,381,175.8,9,0,1,4.1,59,Andros,Townsend,149
Luka,Milivojevic,8,1,115,2520,38,621.3,780.8,380,17,517,178.3,9,0,8,7,62,Luka,Milivojevic,150
Wilfried,Zaha,7,5,90,2153,35,536.6,508,894,9,283,193.9,7,1,7,12,68,Wilfried,Zaha,151
Christian,Benteke,0,0,13,479,7,65.6,18.4,247,0,9,32.1,2,0,0,0.4,63,Christian,Benteke,152
Alexander,Sørloth,0,0,12,173,3,38.3,19.2,59,0,32,11.3,0,0,0,0.1,48,Alexander,Sørloth,153
Jordan,Pickford,0,0,104,2520,39,10,605.8,0,10,485,61.5,7,0,1,12.7,49,Jordan,Pickford,154
Maarten,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,39,Maarten,Stekelenburg,155
Leighton,Baines,0,0,7,374,6,91.4,48.4,15,0,48,15.4,0,0,0,0.5,50,Leighton,Baines,156
Seamus,Coleman,1,1,66,1838,28,256,347.4,139,5,339,74.1,6,0,1,1.1,52,Seamus,Coleman,157
Phil,Jagielka,0,0,4,143,2,10.2,15.4,4,0,23,2.9,1,1,0,0.4,43,Phil,Jagielka,158
Ashley,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Ashley,Williams,159
Mason,Holgate,0,0,5,407,9,5,92.2,2,0,61,9.9,0,0,1,0.1,43,Mason,Holgate,160
Jonjoe,Kenny,0,1,19,703,12,100,155,12,0,130,26.6,1,0,0,0.2,42,Jonjoe,Kenny,161
Michael,Keane,1,2,90,2250,34,78.7,567.8,268,14,455,91.8,7,0,2,3.8,49,Michael,Keane,162
Cuco,Martina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Cuco,Martina,163
Theo,Walcott,3,3,81,1843,31,321.9,319,516,4,225,115.2,6,0,0,2.7,60,Theo,Walcott,164
Yannick,Bolasie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,58,Yannick,Bolasie,165
James,McCarthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,James,McCarthy,166
Morgan,Schneiderlin,0,1,14,375,7,85.5,73.4,10,0,80,16.9,1,0,1,2,42,Morgan,Schneiderlin,167
Idrissa,Gueye,0,1,49,1962,25,202.1,438.6,68,0,309,70.9,6,0,5,0.3,47,Idrissa,Gueye,168
Tom,Davies,0,0,23,965,19,95.3,122.2,85,0,122,30.3,2,0,3,0.1,51,Tom,Davies,169
Ademola,Lookman,0,2,25,526,6,154.5,113.8,144,0,97,41.4,1,0,0,0.1,51,Ademola,Lookman,170
Davy,Klaassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Davy,Klaassen,171
Gylfi,Sigurdsson,11,3,135,2255,34,741.7,716.2,761,17,498,221.8,8,0,3,5.7,72,Gylfi,Sigurdsson,172
Nikola,Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Nikola,Vlasic,173
Beni,Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,Beni,Baningime,174
Dominic,Calvert-Lewin,5,2,61,997,21,90.2,225,295,3,195,60,1,0,3,1.4,53,Dominic,Calvert-Lewin,175
Oumar,Niasse,0,0,15,427,6,61.8,31.6,156,0,18,24.8,2,0,0,0.4,50,Oumar,Niasse,176
Cenk,Tosun,2,3,43,913,15,128.8,163,436,0,122,72.5,1,0,3,1.5,65,Cenk,Tosun,177
Marcus,Bettinelli,0,0,15,630,20,0,195,0,0,114,19.4,0,0,1,0.3,43,Marcus,Bettinelli,178
David,Button,0,0,15,360,5,0,89.2,0,2,76,8.9,1,0,0,3.3,40,David,Button,179
Tim,Ream,0,0,26,1345,38,41.7,200.8,2,3,204,24.6,2,0,0,0.2,42,Tim,Ream,180
Denis,Odoi,0,1,34,2295,57,160.8,516.8,55,2,376,73.5,2,0,4,0.1,44,Denis,Odoi,181
Tom,Cairney,0,1,43,1423,33,376.9,204.8,95,0,252,67.8,3,0,0,0.4,46,Tom,Cairney,182
Kevin,McDonald,0,0,12,690,23,67.5,76.6,15,0,89,16,0,1,3,0.2,42,Kevin,McDonald,183
Ryan,Sessegnon,2,6,70,1526,46,352.3,335.2,296,3,227,98.6,0,0,0,1.9,60,Ryan,Sessegnon,184
Stefan,Johansen,0,0,11,409,12,33,48.8,7,0,48,9,0,0,4,0,50,Stefan,Johansen,185
Floyd,Ayité,0,0,8,163,4,6.9,13.2,9,0,20,2.7,0,0,0,0.1,43,Floyd,Ayité,186
Neeskens,Kebano,0,0,4,58,2,6.7,8.4,4,0,14,2,0,0,0,0,43,Neeskens,Kebano,187
Rui Pedro,da Rocha Fonte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Rui Pedro,da Rocha Fonte,188
Aboubakar,Kamara,3,0,28,688,17,149.5,150,244,2,82,53.1,1,0,2,6.7,45,Aboubakar,Kamara,189
Ben,Hamer,0,0,5,282,11,0,97.8,0,0,50,9.7,0,0,0,6,40,Ben,Hamer,190
Jonas,Lössl,0,0,85,2237,39,20.3,620.2,0,6,449,63.9,5,0,0,1.8,44,Jonas,Lössl,191
Christopher,Schindler,1,1,67,2450,50,33.4,497,143,7,393,67.5,5,1,4,2.4,42,Christopher,Schindler,192
Chris,Löwe,0,2,38,1534,38,295.4,252.8,96,6,243,64.3,1,0,1,0.1,44,Chris,Löwe,193
Tommy,Smith,0,0,4,556,19,45.8,83,14,0,75,14.3,1,1,2,0.1,44,Tommy,Smith,194
Mathias,Jorgensen,3,1,66,2057,36,101.9,521,159,4,385,78.4,3,0,6,2.9,44,Mathias,Jorgensen,195
Scott,Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,40,Scott,Malone,196
Florent,Hadergjonaj,0,0,49,1724,31,362,256.6,80,1,287,69.8,4,0,1,0.1,44,Florent,Hadergjonaj,197
Terence,Kongolo,1,0,49,1906,41,109,360,115,3,297,58.4,4,0,3,0.2,43,Terence,Kongolo,198
Aaron,Mooy,2,0,52,1639,29,556.1,348.6,258,3,291,116.4,3,0,2,1,50,Aaron,Mooy,199
Rajiv,van La Parra,0,0,10,405,6,57.6,27.8,41,0,13,12.6,1,0,0,0,46,Rajiv,van La Parra,200
Jonathan,Hogg,0,1,43,1759,27,216.4,300.6,41,3,271,55.9,5,1,5,0.3,44,Jonathan,Hogg,201
Philip,Billing,2,0,60,2017,38,325.6,476.4,336,4,301,114,5,0,6,1.4,45,Philip,Billing,202
Tom,Ince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Tom,Ince,203
Danny,Williams,0,0,4,83,0,1.1,5,1,0,6,0.6,1,0,1,0,45,Danny,Williams,204
Abdelhamid,Sabiri,0,0,2,48,3,0.5,4.2,2,0,6,0.7,0,0,0,0,43,Abdelhamid,Sabiri,205
Alex,Pritchard,1,0,48,1505,27,349.7,189.6,408,0,162,94.6,6,0,1,0.1,48,Alex,Pritchard,206
Ramadan,Sobhi,0,0,4,75,2,48.2,15.4,6,0,13,6.9,0,0,0,0.1,47,Ramadan,Sobhi,207
Juninho,Bacuna,0,0,16,651,18,134.7,111.6,37,0,87,28.4,0,0,2,0.4,42,Juninho,Bacuna,208
Collin,Quaner,0,0,2,37,2,13.7,2.2,0,0,3,1.6,0,0,0,3.5,43,Collin,Quaner,209
Laurent,Depoitre,0,1,34,1058,23,124.3,51.6,381,0,40,54.8,0,0,1,0.4,51,Laurent,Depoitre,210
Steve,Mounie,2,4,58,1414,25,239.4,218.4,678,4,146,111.8,5,1,0,0.2,58,Steve,Mounie,211
Elias,Kachunga,0,0,21,879,20,100.8,69.4,108,0,28,27.3,1,0,1,0.1,48,Elias,Kachunga,212
Kasper,Schmeichel,0,0,86,2520,39,0,527.8,4,6,445,53,7,0,2,4.8,50,Kasper,Schmeichel,213
Eldin,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,Eldin,Jakupovic,214
Wes,Morgan,1,0,46,1480,23,37.3,307.8,197,2,256,54.3,5,2,1,0.9,45,Wes,Morgan,215
Christian,Fuchs,0,0,2,180,5,85.4,44.2,14,0,35,14.3,0,0,0,0.4,41,Christian,Fuchs,216
Danny,Simpson,0,0,11,275,4,12.5,73.4,2,0,47,8.8,1,0,0,0.2,42,Danny,Simpson,217
Yohan,Benalouane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,39,Yohan,Benalouane,218
Benjamin,Chilwell,0,3,83,2340,34,449.3,495,220,8,405,116.9,7,0,3,2.4,50,Benjamin,Chilwell,219
Harry,Maguire,3,1,73,1963,33,133.5,569.4,387,8,412,108.9,4,0,5,9.1,54,Harry,Maguire,220
Ricardo Domingos,Barbosa Pereira,2,6,104,2223,36,384.8,662.6,308,14,479,135.5,7,0,5,14.6,54,Ricardo Domingos,Barbosa Pereira,221
Jonny,Evans,1,0,49,1273,19,50.5,277.8,129,1,259,45.8,5,0,2,0.4,48,Jonny,Evans,222
Riyad,Mahrez,5,2,72,1015,7,296.2,308.8,548,9,235,115.2,3,0,0,1.8,82,Riyad,Mahrez,223
Marc,Albrighton,2,2,52,1300,15,327.8,322.8,197,4,237,84.8,3,0,3,0.4,51,Marc,Albrighton,224
