assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id,,,,,
0,43,0,0,0,7,0,3,32,3.1,0,0,0,0,3,0,2.3,15.6,0,0,0,90,0,0,4,0,0,0,0,7,0,33,0,28654,1,0,0,3,1,4,0,-751,115,866,43,TRUE,0,1,Charlie,Daniels,1,0,44,1583,34,215.4,289.8,156,1,278,66.2,4,0,4,4.2,41,28,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,6445,0,0,0,3,1,0,0,-28,3,31,42,TRUE,0,0,Adam,Smith,1,0,54,1797,28,136.1,287.8,104,0,294,52.9,6,1,5,0.5,43,29,,,,,
0,57,0,0,0,24,0,14,52,14.9,0,0,0,2,3,0,5.1,36,1,0,0,90,0,1,4,0,0,0,0,9,0,33,0,407552,0,1,0,3,1,0,1,26186,32135,5949,51,TRUE,0,0,Tyrone,Mings,0,0,5,141,4,16.3,49,2,0,41,6.8,0,0,0,0.1,42,30,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,397030,0,0,0,3,1,0,0,-7154,1468,8622,39,TRUE,0,0,Nathan,Aké,3,1,98,2961,61,57.3,872.4,337,6,609,126.7,8,0,2,6.3,51,31,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,22271,0,0,0,3,1,0,0,-99,14,113,43,TRUE,0,0,Jack,Simpson,0,0,2,82,1,0,18.8,0,0,13,1.9,0,0,0,6.3,39,32,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,9153,0,0,0,3,1,0,0,-299,15,314,46,TRUE,0,0,Harry,Arter,0,1,47,1919,38,176.5,230.6,143,0,217,55.1,7,0,9,0.2,49,33,,,,,
0,17,0,0,0,3,0,0,12,1.3,0,0,0,0,0,0,1.1,1.2,0,0,0,19,0,0,4,0,0,0,0,1,0,33,0,5387,0,0,0,3,1,8,1,250,305,55,60,TRUE,0,0,Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,43,34,,,,,
0,25,0,0,0,2,0,1,19,0.9,0,0,0,1,3,0,0.6,4.6,0,0,0,58,0,0,4,0,0,0,0,1,0,33,0,5949,0,0,0,3,1,0,1,71,152,81,47,TRUE,0,0,Andrew,Surman,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1,46,35,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,13573,0,0,0,3,1,0,0,5,114,109,50,TRUE,0,0,Junior,Stanislas,1,3,49,992,24,252.2,189,322,3,180,76.4,2,0,1,0.1,60,36,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,7157,0,0,0,3,1,0,0,-15,9,24,46,TRUE,0,0,Dan,Gosling,0,2,40,1502,31,128,274,156,0,180,55.7,3,0,6,0.1,47,37,,,,,
0,22,1,0,0,17,0,2,17,37.9,1,0,0,0,3,0,6.3,14.2,2,0,0,90,0,4,4,0,0,0,0,3,0,33,0,1542308,1,0,0,3,1,11,2,141929,160374,18445,62,TRUE,0,0,Jordon,Ibe,0,1,23,644,19,151.8,76.2,118,0,75,34.5,0,0,1,0.2,50,38,,,,,
