name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,points_per_game,winning_goals,yellow_cards,first_name,second_name,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
Simon_Francis_26,0,36,0,0,0,9,0,13,21,2,0,0,26,0,0,141,1,1,0,2.9,26.4,0,0,0,90,0,0,10,0,0,0,0,6,0,0,28784,0,0,1,1,2,1,1,3523,4230,707,44,TRUE,2.4,0,1,Simon,Francis,0,2,1002,17,137.9,290,35,0,203,46.2,3,0,1,0.5,0,0
Charlie_Daniels_28,0,34,0,0,0,14,0,12,26,12.4,0,0,28,0,0,141,1,1,0,3.6,24,1,0,0,90,0,0,10,0,0,0,0,6,0,0,263491,1,1,0,1,2,0,1,167,4345,4178,42,TRUE,2.4,0,1,Charlie,Daniels,0,0,690,10,123.5,148.6,55,0,129,32.6,2,0,2,4.4,0,0
Adam_Smith_29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,33879,0,0,0,1,2,0,0,-4556,23,4579,45,TRUE,3.1,0,0,Adam,Smith,0.066666667,0,965,12,70.2,172.4,51,0,184,29.4,4,1,1,0.6,0,0
Jack_Simpson_32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,245940,0,0,0,1,2,0,0,-2885,942,3827,39,TRUE,0,0,0,Jack,Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0
Marc_Pugh_34,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,24717,0,0,0,1,2,0,0,-234,259,493,43,TRUE,0,0,0,Marc,Pugh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
Dan_Gosling_37,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4750,0,0,0,1,2,0,0,-235,14,249,48,TRUE,1.3,0,0,Dan,Gosling,0,0,656,10,86.2,116.4,54,0,79,25.5,1,0,3,0.1,0,0
Jordon_Ibe_38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13156,0,0,0,1,2,0,0,-76,138,214,50,TRUE,1.2,0,0,Jordon,Ibe,0,0,146,5,74.6,18.6,54,0,13,14.7,0,0,0,0.2,0,0
Lewis_Cook_39,0,44,0,0,0,-1,0,1,35,2.3,0,0,39,0,1,141,5,1,0,0.9,4.2,0,0,0,90,0,0,10,0,0,0,0,6,0,0,12429,2,0,0,1,2,2,1,1,381,380,48,TRUE,1.7,0,1,Lewis,Cook,0,0,719,10,50.4,76,36,0,91,16.5,3,0,2,0.2,0,0
Emerson_Hyndman_41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2446,0,0,0,1,2,0,0,-21,4,25,45,TRUE,0,0,0,Emerson,Hyndman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum_Wilson_43,1,17,1,0,3,42,0,0,11,31.8,2,0,43,0,0,141,2,1,1,10.9,56.6,3,0,0,90,1,0,10,0,0,0,0,3,0,0,2254459,5,1,0,1,2,21,12,167441,184436,16995,69,TRUE,6.1,0,0,Callum,Wilson,0.533333333,8,1321,20,250.3,409,636,11,290,129.3,4,0,3,39,0,0
Jermain_Defoe_46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,141,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,26012,0,0,0,1,2,0,0,-215,226,441,56,TRUE,1,0,0,Jermain,Defoe,0,0,22,2,0,3,23,0,12,2.6,0,0,0,0.4,0,0
Shane_Duffy_49,0,15,0,0,0,-4,0,1,11,14.1,0,0,49,0,0,142,0,1,0,2.1,6.6,1,0,0,27,0,1,7,0,0,0,0,1,1,0,478729,0,0,0,1,3,0,-2,33489,39576,6087,47,TRUE,3.7,0,0,Shane,Duffy,0.2,2,1287,21,47.4,496.2,151,5,264,69.5,3,1,3,7.3,0,0
GaÎtan_Bong_51,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10545,0,0,0,1,3,0,0,-452,86,538,45,TRUE,2.3,0,0,Ga√´tan,Bong,0,0,1054,18,58.9,123.2,0,0,155,18.1,3,0,0,0.2,0,0
Markus_Suttner_52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,296239,0,0,0,1,3,0,0,990,6130,5140,38,TRUE,0,0,0,Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Ezequiel_Schelotto_53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,95945,0,0,0,1,3,0,0,1171,2848,1677,38,TRUE,0,0,0,Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0
Beram_Kayal_57,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,62788,0,0,0,1,3,0,0,-2187,3011,5198,44,TRUE,2.5,0,0,Beram,Kayal,0.066666667,1,688,11,52.9,180.6,47,0,104,28.1,3,0,4,1,0,0
JosÈ Heriberto_Izquierdo Mena_61,1,14,0,0,0,10,0,0,9,1.5,0,0,61,0,0,142,1,0,0,1,0.2,0,0,0,48,0,0,7,0,0,0,0,3,0,0,6763,2,0,0,1,3,8,4,-245,154,399,59,TRUE,2.4,0,0,Jos√© Heriberto,Izquierdo Mena,0,2,565,6,60.5,58.8,140,0,67,26,2,0,1,0.1,0,0
Tomer_Hemed_63,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4536,0,0,0,1,3,0,0,-48,7,55,49,TRUE,0,0,0,Tomer,Hemed,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Sam_Baldock_64,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,142,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19999,0,0,0,1,3,0,0,-96,27,123,45,TRUE,0,0,0,Sam,Baldock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
