first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Chris,Wood,10,2,120,2253,42,268,449,848,17,357,155,7,0,2,1.3,63,Chris,Wood,87
Neil,Etheridge,0,0,137,3060,63,10,988.8,0,16,688,99.7,9,0,2,10.9,47,Neil,Etheridge,88
Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,Alex,Smithies,89
Sean,Morrison,1,4,88,2679,57,206.8,608.4,491,5,439,130.8,8,0,5,0.4,47,Sean,Morrison,90
Sol,Bamba,4,1,95,2475,52,51.4,787,304,11,459,114.2,7,0,7,1.8,45,Sol,Bamba,91
Bruno,Ecuele Manga,0,1,86,3015,61,104.8,620,134,3,518,86.2,9,0,0,0.5,44,Bruno,Ecuele Manga,92
Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,38,Matthew,Connolly,93
Joe,Bennett,0,1,67,2279,44,220.9,381.4,81,4,377,68.3,8,0,5,0.4,44,Joe,Bennett,94
Lee,Peltier,0,0,33,1182,20,28,192.6,13,1,167,23.4,4,0,4,4,39,Lee,Peltier,95
Ashley Darel Jazz,Richards,0,0,1,97,4,1.5,12.2,0,0,11,1.5,0,0,0,0.5,39,Ashley Darel Jazz,Richards,96
Greg,Halford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Greg,Halford,97
Joe,Ralls,0,0,43,1876,39,466.2,277.6,204,0,219,94.5,5,1,4,0.1,46,Joe,Ralls,98
David Junior,Hoilett,3,2,76,1942,43,321.8,278,387,4,213,98,6,0,4,0.1,50,David Junior,Hoilett,99
Nathaniel,Mendez-Laing,2,0,38,629,12,103.7,170.2,161,3,144,43.6,3,0,0,0,48,Nathaniel,Mendez-Laing,100
Callum,Paterson,4,2,80,1993,41,311.9,266.8,541,4,227,111.7,5,0,4,0.4,48,Callum,Paterson,101
Aron,Gunnarsson,1,1,59,1943,34,203.4,342,197,3,263,74.2,6,0,4,0.7,44,Aron,Gunnarsson,102
