first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Chris,Wood,8,2,107,2163,42,247.8,377.6,745,14,301,135.5,6,0,2,1,62,Chris,Wood,87
Neil,Etheridge,0,0,128,2880,61,10,924.4,0,16,640,93.3,8,0,2,11,47,Neil,Etheridge,88
Alex,Smithies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,42,Alex,Smithies,89
Sean,Morrison,0,4,72,2499,55,206.6,516,446,2,395,117,7,0,5,0.4,47,Sean,Morrison,90
Sol,Bamba,4,1,95,2475,52,51.4,787,304,11,459,114.2,7,0,7,2,45,Sol,Bamba,91
Bruno,Ecuele Manga,0,1,78,2835,59,104.2,570,124,2,474,80.1,8,0,0,0.4,44,Bruno,Ecuele Manga,92
Matthew,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,38,Matthew,Connolly,93
Joe,Bennett,0,1,62,2099,42,215.8,359.4,62,4,343,63.7,7,0,3,0.4,44,Joe,Bennett,94
Lee,Peltier,0,0,27,1002,18,25.8,178.8,13,1,145,21.8,3,0,3,4.1,39,Lee,Peltier,95
Ashley Darel Jazz,Richards,0,0,1,97,4,1.5,12.2,0,0,11,1.5,0,0,0,0.5,39,Ashley Darel Jazz,Richards,96
Greg,Halford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Greg,Halford,97
Joe,Ralls,0,0,40,1786,39,440.4,245,182,0,201,86.5,4,1,4,0.1,46,Joe,Ralls,98
David Junior,Hoilett,3,1,68,1780,42,254.2,235.2,336,4,189,81.9,5,0,4,0.1,50,David Junior,Hoilett,99
Nathaniel,Mendez-Laing,1,0,27,533,11,100.8,125.6,144,1,105,37.2,2,0,0,0,48,Nathaniel,Mendez-Laing,100
Callum,Paterson,4,2,80,1993,41,311.9,266.8,541,4,227,111.7,5,0,4,0.4,49,Callum,Paterson,101
Aron,Gunnarsson,1,1,56,1799,32,170.3,325.2,184,3,242,67.9,6,0,4,0.7,44,Aron,Gunnarsson,102
Anthony,Pilkington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,Anthony,Pilkington,103
Loïc,Damour,0,0,2,21,2,1,0.6,8,0,6,0.9,0,0,0,0.1,43,Loïc,Damour,104
Danny,Ward,1,0,19,331,11,56.7,60.2,69,0,58,18.3,0,0,0,0.2,43,Danny,Ward,105
Josh,Murphy,3,1,66,1544,27,199,243.4,484,3,158,91.9,6,0,1,0.2,48,Josh,Murphy,106
Kenneth,Zohore,1,1,26,533,16,109.9,85.2,239,2,69,43.4,1,0,1,0.6,46,Kenneth,Zohore,107
Omar,Bogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,Omar,Bogle,108
