assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22210,0,0,0,5,0,0,0,-86,9,95,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9004,0,0,0,5,0,0,0,-191,9,200,46,0,0,0,0,0,36,1438,37,163,190.8,38,0,206,39.2,4,0,2,0.1
0,6,0,0,0,21,0,0,5,0.9,1,0,0,0,0,1,5.2,34.4,0,0,0,7,0,0,3,0,0,0,0,1,0,0,5339,1,0,0,5,0,17,6,-46,76,122,60,0,0,0,2,3,55,999,24,253.1,223.4,339,3,201,81.6,2,0,1,0.1
0,69,0,0,0,30,1,6,59,2.7,1,0,0,1,0,1,11.6,71.6,0,0,0,90,0,0,3,0,0,0,0,7,0,0,5922,2,0,1,5,0,42,7,-39,86,125,47,0,1,1,1,2,47,1592,31,130.7,345.6,198,0,210,67.3,4,0,7,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13517,0,0,0,5,0,0,0,-72,47,119,50,0,0,0,0,1,23,644,19,151.8,76.2,118,0,75,34.5,0,0,1,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7144,0,0,0,5,0,0,0,-13,10,23,46,0,0,0,0,0,22,719,10,50.4,76,36,0,91,16.5,3,0,2,0.1
2,44,1,0,2,53,1,2,37,51.8,0,0,0,0,0,1,14.3,80.4,3,0,0,90,0,1,3,0,0,0,0,3,0,0,1402509,2,0,0,5,0,11,16,-117704,22025,139729,63,0,0,0,7,12,163,2828,56,1138.2,830.4,547,20,673,251.9,8,0,2,22.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2646,0,0,0,5,0,0,0,-9,0,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,1,0,1,43,1,3,27,46.4,1,0,0,0,0,1,14.6,66.2,4,0,0,90,0,0,3,0,0,0,0,6,0,0,304288,3,1,0,5,0,33,12,-46179,9415,55594,51,0,0,0,7,5,116,2083,37,434.5,566.6,596,7,378,159.9,9,0,3,4.9
2,18,1,0,3,54,1,1,12,21.1,1,0,0,0,0,1,11.8,69.6,2,0,0,82,0,0,3,0,0,0,0,3,0,0,1016710,1,0,0,5,0,27,15,-105177,26908,132085,66,0,0,0,12,11,146,2168,38,356.8,623.4,924,19,457,189.9,8,0,3,17.2
