assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
0,55,0,0,0,24,1,7,36,6.8,2,0,0,2,0,0,3.2,21,0,0,0,90,0,0,5,0,0,0,0,6,0,0,494574,0,2,0,3,0,4,5,6099,19316,13217,53,0,0,1,3,3,3.7,2070,31,749.6,613.8,215,12,470,157.8,6,1,4,7.8,7,0
0,47,0,0,1,26,1,5,41,1.6,0,0,0,2,0,0,3.8,18.2,0,0,0,81,0,0,20,0,0,0,0,6,0,0,171851,1,2,1,0,1,18,7,-993,2170,3163,39,1,0,0,1,0,4.3,172,6,1.9,67.8,52,1,52,12.2,1,0,0,2.8,7,0
0,19,0,0,0,26,1,5,14,16.2,0,0,0,1,0,0,3.7,19,1,0,0,90,0,1,9,0,0,0,0,6,0,0,32036,5,4,0,0,2,2,6,2091,3115,1024,40,1,0,0,0,0,1.6,984,14,58.4,161.4,84,0,140,30,2,1,2,0.5,7,0
0,13,0,0,0,5,0,0,9,0.8,1,0,0,1,2,0,0.7,0,0,0,0,77,0,0,14,0,0,0,0,3,0,0,64581,1,1,3,3,1,11,2,8584,13396,4812,65,1,0,0,1,1,3.5,200,3,4.7,54.4,129,1,41,18.4,0,0,0,1.1,7,0
0,33,0,0,0,5,0,0,26,16.5,0,0,0,0,0,0,2.4,5.2,1,0,0,59,0,0,17,0,0,0,0,1,0,0,1509134,3,1,0,0,2,2,1,-24632,22944,47576,108,1,0,0,12,10,6.4,2074,26,1003.6,907.6,1064,21,599,297.9,9,0,2,24.4,6,0
0,51,1,0,0,14,0,3,36,22.3,0,0,0,1,2,0,5.2,14.6,2,0,0,90,0,0,16,0,0,0,0,7,0,0,58171,1,0,0,0,2,15,1,451,1300,849,42,0,0,0,1,0,1.6,1686,34,143.2,414.6,296,0,275,85.6,2,0,5,0.9,6,0
0,18,0,0,0,8,0,0,9,0,0,0,0,0,5,0,1.8,17.8,0,0,0,90,0,0,1,0,0,0,0,2,0,1,513063,0,0,0,1,5,0,0,16603,20171,3568,40,0,0,0,0,0,3.7,540,11,0,146.2,0,2,106,14.7,2,0,1,8.3,6,0
0,35,0,0,0,12,0,1,29,46.2,3,0,0,0,2,0,8.6,14.4,3,0,0,90,1,0,11,0,0,0,0,4,0,0,27966,4,0,0,1,2,25,2,-93,239,332,52,0,0,0,1,5,2.5,1289,27,371.7,278.2,277,1,209,92.7,2,0,3,0.5,6,0
0,15,1,0,0,6,0,0,7,10.7,0,0,0,3,2,0,3.5,2.4,1,0,0,70,0,0,15,0,0,0,0,2,0,0,186811,1,0,0,0,2,22,2,72136,76025,3889,57,0,0,0,8,3,3.3,1502,24,230,384.8,711,10,268,132,5,0,5,3.1,6,0
1,44,0,0,3,34,1,6,37,13.3,0,0,0,1,0,0,5.5,37.6,1,0,0,90,0,0,17,0,0,0,0,4,0,0,498277,1,0,0,0,2,4,12,-4384,1361,5745,63,1,0,0,0,4,4.1,2430,29,408,562.4,132,7,596,110.7,12,0,1,8.1,6,0
1,55,1,0,2,37,1,2,47,36,1,0,0,0,0,0,9,32.8,3,0,0,90,1,0,5,0,0,0,0,4,0,0,65902,2,0,0,3,0,21,11,-1578,431,2009,52,0,0,0,1,1,3.1,1838,28,256,347.4,139,5,339,74.1,6,0,1,1.1,6,0
0,59,0,0,0,24,1,7,52,0.7,0,0,0,2,0,0,1.7,14.2,0,0,0,90,0,0,5,0,0,0,0,3,0,0,237698,0,0,0,3,0,2,6,-1145,6089,7234,49,0,0,0,1,2,3.6,2250,34,78.7,567.8,268,14,455,91.8,7,0,2,3.8,6,0
0,39,0,1,0,1,0,0,31,6.8,2,0,0,0,0,0,6.7,5.2,0,0,0,54,2,0,19,0,0,0,0,2,0,0,111838,2,1,1,0,1,55,1,895,1746,851,82,1,0,0,5,2,3.3,1015,7,296.2,308.8,548,9,235,115.2,3,0,0,1.8,6,0
0,26,0,0,0,20,1,0,23,0,0,0,0,0,0,0,1.2,11.8,0,0,0,90,0,0,19,0,0,0,0,2,0,1,1262999,0,0,0,0,1,0,6,21293,29887,8594,56,1,0,0,0,1,4.2,2520,20,33,434.8,0,4,506,46.8,13,0,2,20.4,6,0
0,24,0,0,0,1,0,0,16,3.3,1,0,0,1,3,0,1.1,3.2,0,0,0,72,1,0,12,0,0,0,0,3,0,0,186385,5,0,0,0,5,4,2,69892,78204,8312,55,0,0,0,6,4,4.3,1452,18,319.7,349,440,7,243,110.5,7,0,2,3.3,6,0
0,36,0,0,0,19,0,1,19,0,0,0,0,0,1,0,3.6,35.8,0,0,0,90,0,0,13,0,0,0,0,11,0,5,1035517,0,0,0,0,1,0,3,-15070,5675,20745,47,0,0,0,0,0,3.8,2520,41,10,832.6,0,13,541,84.1,4,0,0,16.8,6,0
0,49,0,0,0,16,0,9,38,1,0,0,0,0,1,0,3.5,30,0,0,0,90,0,0,10,0,0,0,0,5,0,0,263623,0,2,1,0,1,4,2,21319,26037,4718,46,0,0,0,3,0,3.2,2268,32,66,690.4,200,8,440,95.2,5,1,1,4.3,6,0
0,33,0,0,0,13,0,4,28,0.2,0,0,0,1,1,0,1.1,11.2,0,0,0,90,0,0,10,0,0,0,0,8,0,0,42385,0,0,0,0,1,0,2,1300,1973,673,45,0,0,0,0,0,2.4,2520,35,22.9,435,0,5,435,45.6,6,0,5,0.7,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5078,0,0,0,0,1,0,0,-55,31,86,43,0,0,0,0,0,1.1,508,8,78.9,88,21,0,76,18.8,0,0,1,0.1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6767,0,0,0,1,2,0,0,-50,59,109,42,0,0,0,0,1,2,904,13,89.1,224.8,35,0,146,35,1,0,2,0.1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,70395,0,0,0,0,1,0,0,2399,5631,3232,50,0,0,0,2,4,2.7,1662,25,741.7,381.8,286,9,290,140.7,3,0,8,1.1,6,0
0,43,0,0,0,13,0,5,39,7,1,0,0,0,2,0,3.6,21.2,0,0,0,90,0,1,11,0,0,0,0,5,0,0,12931,1,0,0,1,2,8,0,1016,1347,331,43,0,0,1,0,1,1.7,1710,33,265.4,365.2,47,1,283,67.8,2,0,3,0.2,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,35157,0,0,0,3,0,0,0,-7669,27,7696,50,0,0,0,1,2,2.7,1803,32,76.8,397,138,7,334,61.5,4,1,3,0.6,6,0
2,64,1,0,1,45,1,0,53,27.3,3,0,0,3,0,0,7.8,43,2,0,0,90,0,1,18,0,0,0,0,4,0,0,2383956,1,0,1,0,5,8,13,29021,41497,12476,68,1,0,0,0,9,6.3,2323,13,512,540.6,216,24,669,126.9,16,0,2,38.4,5,0
