assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,first_name,second_name,id
4,1,151,None,None,2,83543,0,0,0,0,252,0,0,3,2.8,2.8,1,Anthony,2.3,17,1,66.4,55,FALSE,215,0,0,0,0,916,,None,55,0,0,0,83543.jpg,3.1,0,0,Knockaert,0.9,FALSE,11,a,3,36,197,40,143966,135,124462,1406,0.4,7.3,Knockaert,3,Anthony,Knockaert,55
0,0,95,100,0,2,40845,0,0,-1,1,33.9,0,0,3,0,0,0,Dale,-0.5,14,0,17.2,56,FALSE,127,0,0,0,0,773,,2018-11-10T15:01:14Z,44,0,0,0,40845.jpg,1.4,1,0,Stephens,3.9,FALSE,6,a,3,36,11,14,56106,85,397593,1475,-0.1,3.2,Stephens,3,Dale,Stephens,56
1,0,104,None,None,3,38490,0,0,-1,1,52.9,0,0,3,1.8,1.8,0,Beram,1.3,11,1,28.1,57,FALSE,180.6,0,0,0,0,688,,None,44,0,0,0,38490.jpg,2.5,0,0,Kayal,1,FALSE,7,a,3,36,47,25,86836,207,35437,1868,0.3,5.7,Kayal,4,Beram,Kayal,57
5,4,168,None,None,3,109345,0,0,0,0,264.1,1,0,3,5,5,2,Solomon,4.5,18,0,60.9,58,FALSE,195.6,0,0,0,0,1097,,None,50,0,0,0,109345.jpg,3.3,0,0,March,1.3,FALSE,20,a,3,36,148,50,88851,7813,18915,1817,0.9,10,March,0,Solomon,March,58
0,3,68,100,100,0,60307,0,0,-3,3,176.7,1,0,3,1.8,1.8,1,Pascal,1.3,6,1,37.1,59,FALSE,112.6,0,0,0,0,418,,2018-09-03T16:01:13Z,67,0,1,0,60307.jpg,2.3,0,0,Groß,1.6,FALSE,13,a,3,36,82,16,46301,114,333366,368,0.2,2.4,Groß,0,Pascal,Groß,59
0,0,114,100,100,1,66242,0,0,-2,2,67.7,0,0,3,2,2,2,Davy,1.5,16,0,22.6,60,FALSE,134,0,0,0,0,962,,2018-10-05T21:01:15Z,48,0,0,0,66242.jpg,2,0,0,Pröpper,0.1,FALSE,24,a,3,36,23,22,2426,23,7797,17,0.3,4.6,Pröpper,1,Davy,Pröpper,60
2,0,67,75,100,2,167473,0,0,-1,1,60.5,0,0,3,2.1,2.8,4,José Heriberto,2.3,6,0,26,61,FALSE,58.8,0,0,0,0,565,Knock - 75% chance of playing,2018-12-04T22:31:16Z,59,0,0,0,167473.jpg,2.4,0,0,Izquierdo Mena,0.1,FALSE,19,d,3,36,140,22,4179,23,10272,108,0.4,3.7,Izquierdo,1,José Heriberto,Izquierdo Mena,61
0,11,202,75,100,2,20529,0,0,2,-2,86.3,1,0,4,3.8,5,7,Glenn,4.5,15,8,70.5,62,FALSE,281.8,0,0,0,0,1037,Shoulder injury - 75% chance of playing,2018-12-04T22:01:16Z,67,0,0,0,20529.jpg,4.5,0,0,Murray,5.8,FALSE,17,d,3,36,344,67,546439,4713,271047,15188,0.7,10,Murray,2,Glenn,Murray,62
0,0,0,0,0,0,38499,0,0,-1,1,0,0,0,4,0,0,0,Tomer,0,0,0,0,63,FALSE,0,0,0,0,0,0,Season-long loan to Queens Park Rangers,2018-08-23T13:01:11Z,49,0,0,0,38499.jpg,0,0,0,Hemed,0.1,FALSE,25,u,3,36,0,0,1305,1,10507,11,0,0,Hemed,0,Tomer,Hemed,63
0,0,0,0,0,0,28462,0,0,0,0,0,0,0,4,0,0,0,Sam,0,0,0,0,64,FALSE,0,0,0,0,0,0,Transferred to Reading,2018-08-01T08:30:27Z,45,0,0,0,28462.jpg,0,0,0,Baldock,0.3,FALSE,9,u,3,36,0,0,1202,4,14894,34,0,0,Baldock,0,Sam,Baldock,64
