assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,22,0,0,-0.117647059,13.5,0.882352941,0,14,0,0,0,0,0,-0.411764706,0,0.202941176,2.452941176,0,0,0,63.52941176,0,0,3,0,0,0,0,6,0,1,556661,0,0,0,5,0,0,5,-39840,1889,41729,41,0,0,0.941176471,0,0,41,26.47058824,0.411764706,0,6.947058824,0,0.117647059,5.5,0.697058824,0.117647059,0,0.058823529,8.8
-0.058823529,0,0,0,0,-7.176470588,-0.117647059,0,0,-5.097058824,0,0,0,0,-0.705882353,0,-1.6,-9.776470588,0,0,0,-36.08823529,0,0,3,0,0,0,0,0,0,0,12730,0,0,0,5,0,-1.147058824,0,-87,12,99,43,0,0,-0.029411765,0,0.058823529,40,36.08823529,0.705882353,5.097058824,9.776470588,1.147058824,0,7.176470588,1.6,0.117647059,0,0.029411765,0.2
-0.029411765,42,0,0,-0.147058824,12.88235294,0.764705882,8,36,-3.211764706,0,0,0,0,-1.382352941,-1,-0.264705882,2.135294118,0,0,0,14.64705882,0,0,3,0,0,0,0,5,0,0,250074,0,0,0,5,0,-1.411764706,6,-7081,40,7121,43,0,0,-0.058823529,1,0.029411765,76,71.35294118,1.382352941,3.211764706,19.06470588,8.411764706,0.147058824,14.11764706,3.064705882,0.235294118,0,0.058823529,4
0,0,0,0,-0.029411765,-8.176470588,-0.117647059,0,0,-6.335294118,0,0,0,0,-1,-1,-1.947058824,-8.523529412,0,0,0,-46.55882353,0,0,3,0,0,0,0,0,0,0,242947,0,0,0,5,0,-4.588235294,0,-27950,94,28044,41,0,0,-0.117647059,1,0,44,46.55882353,1,6.335294118,8.523529412,4.588235294,0.029411765,8.176470588,1.947058824,0.117647059,0,0.117647059,3.7
0,37,0,0,0,15.61764706,0.794117647,6,31,-0.897058824,1,0,0,1,-0.823529412,-1,0.870588235,10.94705882,0,0,0,34.5,0,0,3,0,0,0,0,5,-0.029411765,0,28106,1,0,0,5,0,-1.117647059,6,-697,733,1430,43,0,0,-0.147058824,1,0,60,55.5,0.823529412,4.097058824,9.052941176,3.117647059,0,9.382352941,1.629411765,0.205882353,0.029411765,0.147058824,0.5
0,0,0,0,0,-1.205882353,0,0,0,-0.479411765,0,0,0,0,-0.117647059,0,-0.2,-1.441176471,0,0,0,-4.147058824,0,0,3,0,0,0,0,0,0,0,6417,0,0,0,5,0,-0.058823529,0,-34,2,36,42,0,0,0,0,0,5,4.147058824,0.117647059,0.479411765,1.441176471,0.058823529,0,1.205882353,0.2,0,0,0,0.1
-0.029411765,41,0,0,-0.176470588,3.441176471,0.735294118,3,32,18.89117647,1,0,0,2,-1.794117647,-3,1.417647059,-1.005882353,1,0,0,0.264705882,0,2,3,0,0,0,0,8,0,0,385270,0,0,0,5,0,-4.088235294,5,-14829,6013,20842,51,0,0,0.911764706,3,0.029411765,103,89.73529412,1.794117647,2.308823529,26.40588235,10.08823529,0.176470588,18.55882353,3.882352941,0.264705882,0,0.088235294,6.2
0,4,0,0,0,2.529411765,0,0,4,0.097058824,0,0,0,0,-0.029411765,0,0.041176471,0.029411765,0,0,0,0.5,0,0,3,0,0,0,0,0,0,0,390392,0,0,0,5,0,0,1,-7168,1218,8386,39,0,0,0,0,0,3,2.5,0.029411765,0.002941176,0.570588235,0,0,0.470588235,0.058823529,0,0,0,6.2
-0.029411765,0,0,0,0,-6.617647059,-0.205882353,0,0,-5.552941176,0,0,0,0,-1.147058824,0,-1.732352941,-6.782352941,0,0,0,-58.79411765,0,0,3,0,0,0,0,0,0,0,11532,0,0,0,2,0,-5,0,117,195,78,49,0,0,-0.294117647,0,0.029411765,48,58.79411765,1.147058824,5.552941176,6.782352941,5,0,6.617647059,1.732352941,0.205882353,0,0.294117647,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22210,0,0,0,5,0,0,0,-86,9,95,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
