,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
215,0,2.992333333,0.068533333,Wes,Morgan,,,,,,,,,,,,
274,-0.058823529,2.596466667,0.068166667,Ilkay,Gündogan,,,,,,,,,,,,
400,0,4.624233333,0.067633333,Lukasz,Fabianski,,,,,,,,,,,,
27,-0.029411765,4.065433333,0.066766667,Steve,Cook,,,,,,,,,,,,
140,0,2.489533333,0.066666667,Martin,Kelly,,,,,,,,,,,,
391,-0.117647059,2.161933333,0.0664,Roberto,Pereyra,,,,,,,,,,,,
512,0,1.870533333,0.064966667,André-Frank,Zambo Anguissa,,,,,,,,,,,,
372,-0.176470588,2.3114,0.0648,Harry,Kane,,,,,,,,,,,,
411,-0.088235294,2.4748,0.064566667,Mark,Noble,,,,,,,,,,,,
164,-0.088235294,1.439933333,0.063833333,Theo,Walcott,,,,,,,,,,,,
243,0,2.396433333,0.063766667,Joel,Matip,,,,,,,,,,,,
592,-0.029411765,1.6474,0.063766667,Michy,Batshuayi,,,,,,,,,,,,
300,-0.088235294,2.1547,0.0625,Jesse,Lingard,,,,,,,,,,,,
267,-0.176470588,2.537933333,0.062233333,Benjamin,Mendy,,,,,,,,,,,,
9,0,2.555966667,0.062,Calum,Chambers,,,,,,,,,,,,
116,-0.058823529,2.974466667,0.0611,David,Luiz Moreira Marinho,,,,,,,,,,,,
133,-0.117647059,1.5954,0.061,Olivier,Giroud,,,,,,,,,,,,
66,0,1.852866667,0.060933333,Florin,Andone,,,,,,,,,,,,
189,0,1.027833333,0.060533333,Aboubakar,Kamara,,,,,,,,,,,,
339,0,2.8598,0.060366667,Oriol,Romeu Vidal,,,,,,,,,,,,
118,-0.029411765,2.290433333,0.0603,Antonio,Rüdiger,,,,,,,,,,,,
347,-0.058823529,3.596433333,0.058933333,Shane,Long,,,,,,,,,,,,
358,-0.088235294,2.193266667,0.0589,Kyle,Walker-Peters,,,,,,,,,,,,
378,-0.205882353,2.007633333,0.058833333,José,Holebas,,,,,,,,,,,,
254,-0.147058824,2.165,0.057666667,James,Milner,,,,,,,,,,,,
509,0,2.6413,0.057633333,Sergio,Rico,,,,,,,,,,,,
8,-0.205882353,3.254666667,0.057366667,Sead,Kolasinac,,,,,,,,,,,,
450,-0.117647059,2.655133333,0.0573,Lucas,Torreira,,,,,,,,,,,,
409,0,1.3819,0.0571,Issa,Diop,,,,,,,,,,,,
357,-0.147058824,2.843466667,0.056733333,Kieran,Trippier,,,,,,,,,,,,
223,-0.088235294,1.9123,0.055466667,Riyad,Mahrez,,,,,,,,,,,,
524,-0.029411765,2.570933333,0.052633333,Isaac,Success Ajayi,,,,,,,,,,,,
310,-0.058823529,2.1923,0.0524,DeAndre,Yedlin,,,,,,,,,,,,
142,-0.058823529,3.050633333,0.052233333,Patrick,van Aanholt,,,,,,,,,,,,
22,-0.323529412,2.823566667,0.051866667,Alexandre,Lacazette,,,,,,,,,,,,
415,-0.147058824,2.141933333,0.051666667,Michail,Antonio,,,,,,,,,,,,
179,0,0.5328,0.051,David,Button,,,,,,,,,,,,
419,-0.117647059,2.2924,0.050866667,Javier,Hernández Balcázar,,,,,,,,,,,,
113,-0.147058824,3.5256,0.0507,César,Azpilicueta,,,,,,,,,,,,
365,-0.088235294,2.1621,0.049133333,Bamidele,Alli,,,,,,,,,,,,
366,0,1.7368,0.048966667,Victor,Wanyama,,,,,,,,,,,,
227,0,3.070166667,0.0488,Wilfred,Ndidi,,,,,,,,,,,,
452,0,3.051,0.0487,Angus,Gunn,,,,,,,,,,,,
221,-0.205882353,2.0772,0.0487,Ricardo Domingos,Barbosa Pereira,,,,,,,,,,,,
571,-0.088235294,2.782566667,0.048666667,Harvey,Barnes,,,,,,,,,,,,
414,0.941176471,2.506566667,0.048266667,Manuel,Lanzini,,,,,,,,,,,,
292,-0.029411765,1.779733333,0.0477,Victor,Lindelöf,,,,,,,,,,,,
28,0,1.244533333,0.047333333,Charlie,Daniels,,,,,,,,,,,,
317,0.852941176,2.994533333,0.046733333,Matt,Ritchie,,,,,,,,,,,,
70,-0.058823529,2.9086,0.046666667,Ben,Mee,,,,,,,,,,,,
100,0,1.899433333,0.0465,Nathaniel,Mendez-Laing,,,,,,,,,,,,
37,-0.058823529,2.272666667,0.046333333,Dan,Gosling,,,,,,,,,,,,
462,-0.117647059,1.206233333,0.0462,Xherdan,Shaqiri,,,,,,,,,,,,
91,-0.029411765,1.324033333,0.045633333,Sol,Bamba,,,,,,,,,,,,
191,0,1.607766667,0.0456,Jonas,Lössl,,,,,,,,,,,,
430,0,3.281266667,0.045139216,Conor,Coady,,,,,,,,,,,,
490,0,1.435833333,0.044866667,Joe,Hart,,,,,,,,,,,,
403,-0.029411765,2.3926,0.044315152,Angelo,Ogbonna,,,,,,,,,,,,
115,-0.235294118,1.672166667,0.0442,Marcos,Alonso,,,,,,,,,,,,
295,-0.147058824,1.109333333,0.0439,Alexis,Sánchez,,,,,,,,,,,,
478,0,0.984433333,0.043433333,André,Schürrle,,,,,,,,,,,,
132,-0.058823529,2.428933333,0.0431,Ruben,Loftus-Cheek,,,,,,,,,,,,
276,-0.235294118,2.2371,0.0427,Bernardo Mota,Veiga de Carvalho e Silva,,,,,,,,,,,,
526,-0.058823529,2.186033333,0.0426,Kurt,Zouma,,,,,,,,,,,,
92,-0.029411765,3.0164,0.042366667,Bruno,Ecuele Manga,,,,,,,,,,,,
99,0.941176471,2.767566667,0.042166667,David Junior,Hoilett,,,,,,,,,,,,
