assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,gw16_pts,dream_team
-0.066666667,33,0,0,2.266666667,11,-0.266666667,1,23,-3.573333333,2,0,0,0,0.133333333,0.533333333,10.94,17.25333333,0,0,0,16.33333333,0,0,15,0,0,0,0,4,-0.066666667,0,1847687,6,2,1,1,1,95.26666667,10,60372,102439,42067,70,1,0,-0.066666667,0.466666667,0.066666667,73.66666667,0.866666667,8.973333333,23.14666667,35.73333333,0.733333333,13,6.76,0.266666667,0.066666667,0.066666667,31.5,7,0
0.8,29,1,0,-0.6,7.2,-0.266666667,6,18,-7.233333333,2,0,0,1,-0.2,-0.133333333,-1.066666667,8.026666667,1,0,0,2.733333333,0,0,6,0,0,0,0,4,0,0,1036181,3,2,0,1,2,-11.73333333,5,11223,37080,25857,49,1,0,-0.066666667,0.133333333,0.2,87.26666667,1.2,18.63333333,23.37333333,19.73333333,0.6,17.8,6.166666667,0.266666667,0,0.066666667,18,7,0
0,24,0,0,-0.4,5.666666667,-0.2,0,5,-0.673333333,0,0,1,0,0.866666667,0,1.453333333,15.12,0,0,0,0,0,0,12,0,0,0,0,18,0,8,512418,0,0,0,3,1,0,3,-14908,3398,18306,45,1,0,0,0,0,90,2.133333333,0.673333333,34.88,0,0.4,21.33333333,3.546666667,0.2,0,0,8.7,7,0
0,33,0,0,-0.2,-6.466666667,-0.466666667,1,30,-0.006666667,0,0,0,0,1.133333333,0,-1.346666667,-13.17333333,0,0,0,0,0,0,20,0,0,0,0,5,0,0,331769,0,0,0,1,2,0,1,4585,10413,5828,55,0,0,0,0,0,90,0.866666667,0.006666667,18.57333333,0,0.2,19.46666667,1.846666667,0.466666667,0,0,5.6,7,0
-0.266666667,34,0,0,-0.2,-13.8,-0.133333333,1,26,-8.726666667,1,0,0,2,0.733333333,0,-1.206666667,-14.56,0,0,0,3,0,0,14,0,0,0,0,2,0,0,614095,1,0,1,2,2,11.93333333,0,-7265,14032,21297,54,0,0,0.8,0,0.266666667,87,1.266666667,11.52666667,14.56,18.06666667,0.2,15.8,4.406666667,0.133333333,0,0.2,10.7,6,0
0,57,0,0,0,11.8,0,7,52,-0.453333333,0,0,0,1,1.066666667,0,0.853333333,9.986666667,0,0,0,39.46666667,0,0,14,0,0,0,0,3,0,0,65200,0,2,0,2,2,-0.733333333,1,57,682,625,51,0,0,-0.266666667,0,0,50.53333333,0.933333333,0.853333333,9.813333333,0.733333333,0,7.2,1.146666667,0,0,0.266666667,1.1,6,0
0,18,0,0,-0.066666667,-2.866666667,-0.133333333,2,12,-2.966666667,1,0,0,0,1.133333333,0,-1.26,-10.46666667,0,0,0,12,0,1,12,0,0,0,0,7,0,0,16360,1,0,0,3,1,1,1,-935,132,1067,44,1,0,-0.066666667,0,0,78,1.866666667,7.666666667,16.86666667,1,0.066666667,12.86666667,2.56,0.133333333,0,0.066666667,0.3,6,0
0,18,0,0,0,13.2,-0.2,4,12,-6.186666667,2,0,0,4,1.2,0.933333333,5.046666667,29.6,0,0,0,7.2,0,0,12,0,0,0,0,3,0,0,23478,0,0,0,3,1,26.86666667,7,-419,225,644,46,1,0,-0.2,0.066666667,0,82.8,1.8,8.486666667,12.8,6.133333333,0,11.8,2.753333333,0.2,0,0.2,0.4,6,0
-0.066666667,26,0,0,0,-8.333333333,-0.133333333,1,18,-5.253333333,0,0,0,0,1,0,-1.846666667,-11.66666667,0,0,0,0,0,0,19,0,0,0,0,4,0,0,7329,1,0,0,1,3,-1.8,1,-84,110,194,44,0,0,0,0,0.066666667,90,2,6.053333333,18.46666667,1.8,0,14.33333333,2.646666667,0.133333333,0,0,0.1,6,0
-0.466666667,65,0,0,-0.933333333,-9.933333333,-0.466666667,3,56,-0.053333333,0,0,0,2,1.133333333,-0.066666667,-2.226666667,-7.226666667,1,0,0,0.866666667,0,0,20,0,0,0,0,11,0,0,2834411,1,3,0,1,2,-14.73333333,0,-12260,22789,35049,71,0,0,0.866666667,0.066666667,0.466666667,89.13333333,0.866666667,17.85333333,20.62666667,14.73333333,0.933333333,24.93333333,5.326666667,0.466666667,0,0.133333333,47.6,6,0
-0.066666667,103,0,0,-0.4,-7.333333333,-0.466666667,5,95,-1.726666667,0,0,0,1,1.133333333,-0.066666667,-1.046666667,-3.6,0,0,0,1.466666667,0,0,20,0,0,0,0,10,0,0,311938,0,0,2,1,2,-5,1,5994,14364,8370,60,0,0,-0.2,0.066666667,0.066666667,88.53333333,0.866666667,5.726666667,19.6,13,0.4,21.33333333,3.846666667,0.466666667,0,0.2,5.2,6,0
0,16,0,0,0,-4.733333333,-0.066666667,0,14,-1.68,0,0,0,0,-0.533333333,-0.066666667,-0.64,-4.013333333,0,0,0,-21,0,0,3,0,0,0,0,1,0,0,123405,3,0,0,1,3,-0.8,1,-3381,167,3548,44,0,0,-0.066666667,0.066666667,0,38,0.533333333,4.88,6.613333333,8.8,0,4.733333333,2.04,0.066666667,0,0.066666667,2.1,6,0
0,102,0,0,-0.2,8.266666667,-0.066666667,3,84,0.313333333,1,0,0,1,0.866666667,-0.066666667,1.34,9.986666667,0,0,0,77.66666667,0,0,4,0,0,0,0,5,0,0,12066,1,1,0,3,1,2.6,2,-206,88,294,49,0,0,0,0.066666667,0,12.33333333,0.133333333,0.386666667,4.813333333,1.4,0.2,4.733333333,0.66,0.066666667,0,0,0.2,6,0
0.866666667,102,1,0,-0.533333333,5,-0.533333333,11,90,8.906666667,0,0,0,0,0.6,0,6.293333333,22.58666667,1,0,0,2.4,0,0,4,0,0,0,0,3,0,0,1107110,0,0,1,3,1,31.26666667,5,60561,68520,7959,60,0,0,-0.066666667,0,0.133333333,87.6,0.4,1.893333333,24.41333333,9.733333333,0.533333333,23,3.606666667,0.533333333,0,0.066666667,19.1,6,0
-0.066666667,3,0,0,-0.533333333,-6.8,-0.133333333,0,1,-11.21333333,1,0,0,0,-0.4,-0.333333333,-5.24,-14.12,0,0,0,-39.86666667,0,0,1,0,0,0,0,0,0,0,261849,0,0,0,2,2,-27.46666667,1,-557,5026,5583,107,1,0,-0.066666667,0.333333333,0.066666667,66.86666667,1.4,11.51333333,15.32,29.46666667,0.533333333,10.8,5.64,0.133333333,0,0.066666667,4.4,6,0
0,73,0,0,-0.133333333,-0.466666667,-0.333333333,10,64,-1.926666667,0,0,0,0,0.266666667,0,1.926666667,11.98666667,0,0,0,12.66666667,0,0,16,0,0,0,0,6,0,0,180005,0,0,0,1,3,9.466666667,2,5838,10932,5094,59,1,0,-0.066666667,0,0,77.33333333,0.733333333,2.426666667,17.81333333,7.533333333,0.133333333,17.46666667,2.773333333,0.333333333,0,0.066666667,3,6,0
0,36,0,0,-0.2,1.866666667,-0.6,1,31,0,0,0,0,0,0.6,0,1.933333333,19.09333333,0,0,0,0,0,0,4,0,0,0,0,10,0,5,1223672,0,0,0,3,1,0,3,22264,29617,7353,57,0,0,0,0,0,90,0.4,0,18.70666667,0,0.2,21.13333333,1.866666667,0.6,0,0,20.8,6,0
0,44,0,0,0.866666667,5.933333333,-0.133333333,8,32,-2.9,0,0,0,1,0.666666667,0.866666667,2.213333333,18.93333333,0,0,0,1.333333333,0,0,14,0,0,0,0,3,0,0,76706,0,1,0,2,2,6,7,-1888,919,2807,54,0,0,0.733333333,0.133333333,0,88.66666667,1.333333333,3.3,28.46666667,11,0.133333333,17.06666667,4.286666667,0.133333333,0,0.266666667,1.4,5,0
-0.2,26,0,1,-1.066666667,-24.2,-0.2,1,24,-8.62,0,0,0,0,0.933333333,-0.666666667,-3.386666667,-18.98666667,0,0,0,15.33333333,0,0,14,0,0,0,0,3,0,0,1430386,5,0,0,2,2,-6.2,2,510631,525322,14691,111,0,0,0,0.666666667,0.2,74.66666667,1.066666667,13.62,29.18666667,30.2,1.066666667,23.2,7.286666667,0.2,0,0,26.8,5,0
0,22,0,0,0,9.8,0,5,14,8.913333333,1,0,0,1,2.6,0,2.366666667,12.66666667,1,0,0,72,0,0,12,0,0,0,0,4,0,0,6236,0,2,2,3,1,1.8,1,-68,30,98,42,1,0,-0.133333333,0,0,18,0.4,1.986666667,3.133333333,0.2,0,2.2,0.533333333,0,0,0.133333333,0.1,5,0
0.733333333,18,0,0,-0.133333333,4.733333333,-0.133333333,11,14,-7.686666667,0,0,0,0,1,0,1.773333333,7.933333333,0,0,0,1.4,2,0,19,0,0,0,0,4,0,0,21132,0,0,0,1,3,17.66666667,4,781,1234,453,47,0,0,-0.066666667,0,0.266666667,88.6,2,9.286666667,20.66666667,16.33333333,0.133333333,14.26666667,4.626666667,0.133333333,0,0.066666667,0.4,5,0
-0.066666667,28,0,0,-0.133333333,0.466666667,-0.133333333,2,22,7.513333333,2,0,0,0,1.666666667,0,1.026666667,2.066666667,1,0,0,30,0,1,19,0,0,0,0,7,0,0,33669,2,0,0,1,3,1,1,-1229,44,1273,45,0,0,0,0,0.066666667,60,1.333333333,8.786666667,11.93333333,1,0.133333333,10.53333333,2.173333333,0.133333333,0,0,0.6,5,0
0,20,0,0,1.866666667,24.26666667,0,0,16,8.466666667,0,0,0,2,0.2,0.933333333,6.226666667,30.25333333,1,0,0,63.8,1,0,11,0,0,0,0,3,0,0,468735,0,0,2,1,1,23.13333333,8,1947,19415,17468,43,1,0,-0.066666667,0.066666667,0,26.2,0.8,5.533333333,3.146666667,5.866666667,0.133333333,2.733333333,1.373333333,0,0,0.066666667,8,5,0
-0.066666667,52,0,0,0,2.2,-0.133333333,0,48,11.4,1,0,0,1,2.333333333,0,2.886666667,-1.96,1,0,0,49.46666667,0,0,3,0,0,0,0,3,0,0,12921,4,0,2,1,3,19.26666667,2,478,713,235,56,0,0,-0.133333333,0,0.066666667,40.53333333,0.666666667,11.4,6.16,13.73333333,0,5.8,3.113333333,0.133333333,0,0.133333333,0.2,5,0
-0.066666667,12,0,0,2.6,17.86666667,-0.133333333,0,6,-1.22,0,0,0,1,0.466666667,0.8,3.506666667,23.56,0,0,0,30.13333333,0,0,8,0,0,0,0,1,0,0,86120,4,0,1,1,1,12.53333333,9,-5772,8996,14768,57,0,0,-0.066666667,0.2,0.066666667,42.86666667,0.533333333,1.72,9.04,21.46666667,0.4,6.133333333,3.193333333,0.133333333,0,0.066666667,1.6,5,0
0,100,0,0,0,8.333333333,-0.2,0,87,15.6,3,0,0,0,0.666666667,0,2.073333333,10.38666667,1,0,0,48.6,0,0,15,0,0,0,0,6,0,0,11063,2,0,1,1,1,-5.666666667,2,3493,3804,311,54,1,0,-0.066666667,0,0,41.4,0.333333333,3.7,4.813333333,6.666666667,0,4.666666667,1.526666667,0.2,0,0.066666667,0.2,5,0
0,0,0,0,0,-1.533333333,-0.133333333,0,0,-1.933333333,0,0,0,0,0,0,-0.613333333,-1.173333333,0,0,0,-8.733333333,0,0,4,0,0,0,0,0,0,0,41439,0,0,0,3,1,-3.066666667,0,-293,27,320,69,0,0,-0.066666667,0,0,8.733333333,0,1.933333333,1.173333333,3.066666667,0,1.533333333,0.613333333,0.133333333,0,0.066666667,0.7,4,0
0,3,0,0,0,-2.866666667,-0.266666667,1,2,-10.12666667,1,0,0,0,-1,0,-1.78,-2.2,0,0,0,-50.33333333,0,0,6,0,0,0,0,2,0,0,27755,2,0,0,1,2,-5.933333333,1,-1353,604,1957,48,1,0,-0.066666667,0,0,68.33333333,1,10.42666667,4.4,13.93333333,0,4.866666667,2.88,0.266666667,0,0.066666667,0.5,4,0
