assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent,F_pts,in_dreamteam
-0.214285714,0,0,0,-0.178571429,-12.35714286,-0.178571429,0,0,-16.48214286,0,0,0,0,-1.321428571,0,-3.614285714,-14.29285714,0,0,0,-68.60714286,0,0,15,0,0,0,0,0,0,0,180095,0,0,0,0,2,-5.214285714,0,148,6925,6777,46,0,0,-0.142857143,0,0.214285714,2.9,68.60714286,1.321428571,16.48214286,14.29285714,5.214285714,0.178571429,12.35714286,3.614285714,0.178571429,0,0.142857143,2.8,7,0
0,34,0,0,-0.357142857,1.678571429,0.75,0,23,-0.357142857,0,0,0,0,-1.392857143,0,-1.796428571,-17.23571429,0,0,0,0,0,0,5,0,0,0,0,5,0,0,791270,0,0,0,3,0,0,6,-4112,4971,9083,49,0,0,-0.035714286,0,0,3.7,90,1.392857143,0.357142857,21.63571429,0,0.357142857,17.32142857,2.196428571,0.25,0,0.035714286,12.7,7,0
0,58,0,0,-0.178571429,19.21428571,0.821428571,9,54,-0.221428571,0,0,0,0,-0.25,-1,1.825,20.52857143,0,0,0,60.89285714,0,0,18,0,0,0,0,1,0,0,44565,1,0,0,0,5,-2.25,6,12656,13840,1184,49,1,0,-0.107142857,1,0,3.6,29.10714286,0.25,0.821428571,8.671428571,2.25,0.178571429,7.785714286,1.175,0.178571429,0,0.107142857,0.7,7,0
-0.142857143,73,1,2,-0.392857143,-8.535714286,0.642857143,0,62,11.38571429,1,0,0,0,-0.428571429,-6,2.732142857,-10.99285714,3,0,0,28.82142857,1,0,19,0,0,0,0,3,0,0,261552,3,1,2,0,1,27.25,3,6457,12401,5944,85,1,0,-0.035714286,6,0.142857143,4.4,61.17857143,0.428571429,29.51428571,19.39285714,31.75,0.392857143,16.53571429,8.067857143,0.357142857,0,0.035714286,4.2,7,0
-0.214285714,15,0,1,-0.75,-21.17857143,-0.285714286,0,13,18.07857143,2,0,0,2,1.071428571,-15,-1.046428571,-19.98571429,3,0,0,16.32142857,0,0,6,0,0,0,0,2,0,0,845783,7,1,1,0,2,-8.357142857,1,45415,49336,3921,124,0,0,0.821428571,15,0.214285714,5.9,73.67857143,0.928571429,13.72142857,26.38571429,40.35714286,0.75,18.17857143,8.046428571,0.285714286,0,0.178571429,13.7,7,0
-0.035714286,17,0,0,-0.035714286,4.214285714,-0.035714286,12,12,-1.292857143,0,0,0,1,0.178571429,0,0.657142857,11.28571429,0,0,0,45.85714286,0,0,13,0,0,0,0,2,0,0,31591,0,0,0,0,1,-3.75,2,2256,2782,526,42,0,0,-0.035714286,0,0.035714286,1.8,44.14285714,0.821428571,1.392857143,9.314285714,3.75,0.035714286,6.785714286,1.442857143,0.035714286,0,0.035714286,0.5,7,0
-0.107142857,0,0,0,-0.071428571,-8.75,-0.142857143,0,0,-7.853571429,0,0,0,0,-0.785714286,-1,-2.107142857,-9.5,0,0,0,-57.21428571,0,0,13,0,0,0,0,0,-0.035714286,0,23379,0,0,0,0,1,-3.75,0,-777,686,1463,48,0,0,-0.178571429,1,0.107142857,2.4,57.21428571,0.785714286,7.853571429,9.5,3.75,0.071428571,8.75,2.107142857,0.142857143,0.035714286,0.178571429,0.4,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14448,0,0,0,0,1,0,0,-62,45,107,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,7,0
0,0,0,0,-0.142857143,-5.964285714,-0.071428571,0,0,-1.578571429,0,0,0,0,-0.392857143,-2,-1.457142857,-8.621428571,0,0,0,-27.71428571,0,0,10,0,0,0,0,0,0,0,30785,0,0,0,0,1,-4.428571429,0,-122,1963,2085,42,0,0,-0.178571429,2,0,2.6,27.71428571,0.392857143,1.578571429,8.621428571,4.428571429,0.142857143,5.964285714,1.457142857,0.071428571,0,0.178571429,0.5,7,0
-0.107142857,55,0,0,-0.428571429,7.214285714,0.785714286,7,36,-19.97142857,2,0,0,2,-1.107142857,-3,-2.435714286,-0.921428571,0,0,0,16.07142857,0,0,5,0,0,0,0,6,-0.035714286,0,494574,0,2,0,3,0,-3.678571429,5,6099,19316,13217,53,0,0,0.857142857,3,0.107142857,3.7,73.92857143,1.107142857,26.77142857,21.92142857,7.678571429,0.428571429,16.78571429,5.635714286,0.214285714,0.035714286,0.142857143,7.8,7,0
0,47,0,0,0.964285714,24.14285714,0.964285714,5,41,1.532142857,0,0,0,2,-0.214285714,-1,3.364285714,15.77857143,0,0,0,74.85714286,0,0,20,0,0,0,0,6,0,0,171851,1,2,1,0,1,16.14285714,7,-993,2170,3163,39,1,0,0,1,0,4.3,6.142857143,0.214285714,0.067857143,2.421428571,1.857142857,0.035714286,1.857142857,0.435714286,0.035714286,0,0,2.8,7,0
0,19,0,0,0,21,0.928571429,5,14,14.11428571,0,0,0,1,-0.5,0,2.628571429,13.23571429,1,0,0,54.85714286,0,1,9,0,0,0,0,6,-0.035714286,0,32036,5,4,0,0,2,-1,6,2091,3115,1024,40,1,0,-0.071428571,0,0,1.6,35.14285714,0.5,2.085714286,5.764285714,3,0,5,1.071428571,0.071428571,0.035714286,0.071428571,0.5,7,0
-0.035714286,13,0,0,-0.035714286,3.535714286,0,0,9,0.632142857,1,0,0,1,1.892857143,-1,0.042857143,-1.942857143,0,0,0,69.85714286,0,0,14,0,0,0,0,3,0,0,64581,1,1,3,3,1,6.392857143,2,8584,13396,4812,65,1,0,0,1,0.035714286,3.5,7.142857143,0.107142857,0.167857143,1.942857143,4.607142857,0.035714286,1.464285714,0.657142857,0,0,0,1.1,7,0
-0.357142857,33,0,0,-0.75,-16.39285714,-0.321428571,0,26,-19.34285714,0,0,0,0,-0.928571429,-12,-8.239285714,-27.21428571,1,0,0,-15.07142857,0,0,17,0,0,0,0,1,0,0,1509134,3,1,0,0,2,-36,1,-24632,22944,47576,108,1,0,-0.071428571,12,0.357142857,6.4,74.07142857,0.928571429,35.84285714,32.41428571,38,0.75,21.39285714,10.63928571,0.321428571,0,0.071428571,24.4,6,0
